cycle,ambient_temperature,capacity,voltage_measured,current_measured,temperature_measured,current_load,voltage_load,time,RUL
1,24,1.8550045207910817,4.188108651124536,0.00013066734156636677,23.8195202516044,0.0006,0.0,0.0,131
1,24,1.8550045207910817,4.188195942647034,0.001459080605681204,23.82880715958107,0.0006,4.203,9.421999999999997,131
1,24,1.8550045207910817,3.977432055654197,-2.005671955333404,23.844944489280138,1.9988,3.029,19.578000000000003,131
1,24,1.8550045207910817,3.961974217766504,-2.012205794994686,23.925577330032258,1.9988,3.026,29.016,131
1,24,1.8550045207910817,3.9498352354576047,-2.0120046406721395,24.010627934505163,1.9988,3.015,38.485,131
1,24,1.8550045207910817,3.939550064879283,-2.0072850983334116,24.103191964202598,1.9988,3.005,47.906,131
1,24,1.8550045207910817,3.9304536668973222,-2.009340457838071,24.19162073012334,1.9988,2.997,57.328,131
1,24,1.8550045207910817,3.9221803529771484,-2.010267259036747,24.294343526900445,1.999,2.987,66.75,131
1,24,1.8550045207910817,3.91464889974803,-2.010024054971675,24.382615580436433,1.9988,2.979,76.156,131
1,24,1.8550045207910817,3.907584709153282,-2.00867077329473,24.476314642980373,1.9988,2.974,85.594,131
1,24,1.8550045207910817,3.90126780288413,-2.0106237185854403,24.57457823698312,1.999,2.965,95.031,131
1,24,1.8550045207910817,3.8952146484786723,-2.009617297008268,24.66737222996142,1.9988,2.96,104.39099999999999,131
1,24,1.8550045207910817,3.889690143270334,-2.007814321761306,24.76058265033414,1.9988,2.956,113.76599999999999,131
1,24,1.8550045207910817,3.884241777958718,-2.0115404243618857,24.85949785712736,1.9988,2.953,123.125,131
1,24,1.8550045207910817,3.8791271426622225,-2.0080961448121464,24.96219947956856,1.9988,2.949,132.531,131
1,24,1.8550045207910817,3.874532799864547,-2.011376288742226,25.047866504485402,1.9988,2.945,141.938,131
1,24,1.8550045207910817,3.8699655760936302,-2.009756653284586,25.150631162240234,1.999,2.943,151.328,131
1,24,1.8550045207910817,3.8655861813583656,-2.012294813535249,25.245960250602078,1.9988,2.939,160.735,131
1,24,1.8550045207910817,3.8613232967474995,-2.0075491483847063,25.334606396233955,1.999,2.937,170.125,131
1,24,1.8550045207910817,3.857541912231681,-2.0080594694901186,25.41616897550333,1.9988,2.933,179.531,131
1,24,1.8550045207910817,3.853373028594797,-2.0098111686638664,25.5181196398574,1.9988,2.93,188.938,131
1,24,1.8550045207910817,3.8497508675836523,-2.010164078600632,25.60406454572696,1.9988,2.927,198.344,131
1,24,1.8550045207910817,3.845967646114043,-2.0086948409246905,25.705917427857898,1.9988,2.924,207.719,131
1,24,1.8550045207910817,3.8423614876942587,-2.0076469206065464,25.78674132046683,1.999,2.922,217.172,131
1,24,1.8550045207910817,3.8391353600028193,-2.0116914814688363,25.877056882669965,1.9988,2.919,226.578,131
1,24,1.8550045207910817,3.8358130257467793,-2.007390676603688,25.966471812775776,1.9988,2.916,235.938,131
1,24,1.8550045207910817,3.832241611056925,-2.0116854501592547,26.05068363908009,1.9988,2.913,245.36,131
1,24,1.8550045207910817,3.8292916249456193,-2.0085012691297326,26.134296322096883,1.9988,2.91,254.828,131
1,24,1.8550045207910817,3.826212051453392,-2.007782686511428,26.220917504115434,1.9988,2.907,264.188,131
1,24,1.8550045207910817,3.823183538335519,-2.006959394552626,26.297411658681774,1.9988,2.905,273.594,131
1,24,1.8550045207910817,3.8202772210716707,-2.0079703238289195,26.389660224738687,1.9988,2.902,283.0,131
1,24,1.8550045207910817,3.8172400451818946,-2.0089939921028854,26.466868760777164,1.9988,2.9,292.406,131
1,24,1.8550045207910817,3.8146336478355742,-2.006583139220951,26.557047663312364,1.9988,2.897,301.86,131
1,24,1.8550045207910817,3.811729657117534,-2.0099702809578464,26.635498676292368,1.9988,2.895,311.219,131
1,24,1.8550045207910817,3.809130725033005,-2.011557313949179,26.712110533742138,1.9988,2.892,320.563,131
1,24,1.8550045207910817,3.8064429781332136,-2.0087899157333178,26.79618176270998,1.999,2.89,329.953,131
1,24,1.8550045207910817,3.8037269903908633,-2.0083578113227327,26.87644361087177,1.999,2.887,339.328,131
1,24,1.8550045207910817,3.800884192317118,-2.0105523088993973,26.958983414369524,1.999,2.885,348.688,131
1,24,1.8550045207910817,3.798668838816533,-2.0068466926866253,27.03441104520881,1.9988,2.883,358.063,131
1,24,1.8550045207910817,3.796115902558047,-2.007063940264315,27.109058489020626,1.9988,2.881,367.422,131
1,24,1.8550045207910817,3.793544933955797,-2.0075795430909698,27.186575219946064,1.9988,2.879,376.828,131
1,24,1.8550045207910817,3.7912148554896725,-2.0109572778955482,27.272408651884582,1.9988,2.876,386.235,131
1,24,1.8550045207910817,3.7886861608614515,-2.011269937112233,27.338686093560774,1.9988,2.874,395.625,131
1,24,1.8550045207910817,3.7864695945096014,-2.009309622149581,27.430480210132195,1.999,2.872,405.047,131
1,24,1.8550045207910817,3.784127501271701,-2.0058302383568787,27.506293399213412,1.9988,2.87,414.469,131
1,24,1.8550045207910817,3.7815094522205213,-2.0108934598233232,27.576816093004037,1.9988,2.868,423.86,131
1,24,1.8550045207910817,3.779149091593434,-2.0087050694728763,27.65153057779851,1.9988,2.865,433.266,131
1,24,1.8550045207910817,3.7769459031003363,-2.0067826955500414,27.722729113326196,1.9988,2.863,442.625,131
1,24,1.8550045207910817,3.774414341199159,-2.0112385684856675,27.798987810445418,1.999,2.861,452.125,131
1,24,1.8550045207910817,3.772024659078597,-2.0102857453599285,27.86206100577323,1.9988,2.859,461.5,131
1,24,1.8550045207910817,3.769604524478146,-2.0128008270008357,27.938890582108804,1.9988,2.857,470.86,131
1,24,1.8550045207910817,3.767357887404263,-2.011042370747416,28.014325726664932,1.9988,2.855,480.219,131
1,24,1.8550045207910817,3.7651134402485806,-2.008538547883814,28.074461352199393,1.9988,2.853,489.641,131
1,24,1.8550045207910817,3.762686463721417,-2.0088753573356732,28.13297985186621,1.999,2.851,499.0,131
1,24,1.8550045207910817,3.7603223786555664,-2.008295438687457,28.20730451196526,1.9988,2.848,508.391,131
1,24,1.8550045207910817,3.758001319840107,-2.008843765575543,28.26984758606404,1.9988,2.846,517.735,131
1,24,1.8550045207910817,3.75580073525919,-2.0087700089343894,28.327891093372454,1.9988,2.843,527.078,131
1,24,1.8550045207910817,3.7532729343068936,-2.0076166455557893,28.388499175520707,1.9988,2.842,536.422,131
